date,serial_number,model,capacity_bytes,failure,reallocated-sectors-count-normal,reallocated-sectors-count-raw,power-on-hours-normal,power-on-hours-raw,power-cycle-count-normal,power-cycle-count-raw,reported-uncorrectable-errors-normal,reported-uncorrectable-errors-raw,temperature-difference-normal,temperature-difference-raw,hardware-ecc-recovered-normal,hardware-ecc-recovered-raw,ultradma-crc-error-count-normal,ultradma-crc-error-count-raw,total-lbas-written-normal,total-lbas-written-raw,total-lbas-read-normal,total-lbas-read-raw
2021-06-18,Z7OVTDBIT,TOSHIBA MQ01ABF050M,5.00108E+11,1,100,0,60,16312,100,7,,,,,,,200,1,,,,
2021-04-10,ZL0055YL,ST12000NM0008,1.2E+13,1,99,4008,91,8601,100,1,39,61,59,41,1,46326720,200,0,100,59821282984,100,1.23E+11
2021-04-01,AAG8RN9H,HGST HUH721212ALN604,1.20001E+13,0,100,0,98,18488,100,37,,,,,,,200,0,,,,
2021-06-23,1170A075F97G,TOSHIBA MG07ACA14TA,1.40005E+13,1,100,0,94,2783,100,2,,,,,,,200,0,,,,
2021-04-28,ZHZ631JZ,ST12000NM0008,1.2E+13,1,100,1000,89,9652,100,2,73,27,67,33,1,92824808,200,0,100,59818363520,100,1.36E+11
2021-04-01,ZL0055EG,ST12000NM0008,1.20001E+13,0,100,0,95,4849,100,2,100,0,79,21,1,110842416,200,0,100,23486752920,100,98452904701
2021-06-01,ZA16DQ44,ST8000NM0055,8.00156E+12,1,85,59072,58,37053,100,12,1,136,70,30,81,141060232,200,0,100,77342167800,100,2.90934E+11
2021-04-18,Z304GX8A,ST4000DM000,4E+12,1,100,0,46,47777,100,11,100,0,79,21,,,200,0,100,58859309880,100,2.95E+11
2021-04-01,5PHKYN2F,HGST HUH721212ALE604,1.20001E+13,0,100,0,100,179,100,3,,,,,,,200,0,,,,
2021-06-03,ZA143CY5,ST8000DM002,8.00156E+12,1,95,20792,55,40274,100,30,25,75,64,36,15,72965840,200,0,100,85791897656,100,2.72731E+11
2021-06-19,ZA12C5LZ,ST8000DM002,8.00156E+12,1,97,14456,51,43028,100,23,1,107,65,35,18,149706720,200,0,100,89001876104,100,3.25199E+11
2021-04-01,ZHZ661NN,ST12000NM0008,1.20001E+13,0,100,0,91,8253,100,1,100,0,74,26,3,234362840,200,0,100,55070960776,100,1.24607E+11
2021-04-06,ZLW15TQQ,ST14000NM001G,1.4E+13,1,100,0,96,4102,100,3,100,0,67,33,,,200,0,100,41902358536,100,78680522972
2021-06-04,Z304HNX6,ST4000DM000,4.00079E+12,1,100,0,45,48603,100,13,1,378,81,19,,,200,0,100,59195980672,100,3.48957E+11
2021-06-03,57GGPD9OT,TOSHIBA MQ01ABF050,5.00108E+11,1,100,0,26,29720,100,14,,,,,,,200,0,,,,
2021-04-01,Z305JZTJ,ST4000DM000,4.00079E+12,0,100,0,50,44239,100,4,100,0,73,27,,,200,0,100,55041865760,100,2.77737E+11
2021-04-01,ZHZ2YE8N,ST12000NM0008,1.20001E+13,0,100,0,86,12534,100,4,100,0,71,29,2,81128480,200,0,100,67559897768,100,1.44436E+11
2021-04-01,70E0A0Z7F97G,TOSHIBA MG07ACA14TA,1.40005E+13,0,100,0,88,4835,100,3,,,,,,,200,0,,,,
2021-06-05,70X0A07ZF97G,TOSHIBA MG07ACA14TA,1.40005E+13,1,100,0,92,3527,100,1,,,,,,,200,0,,,,
2021-06-12,ZHZ50G6H,ST12000NM0008,1.20001E+13,1,100,0,86,12979,100,10,100,0,60,40,1,218910960,200,0,100,61958430088,100,1.69462E+11
2021-04-06,ZJV00L4T,ST12000NM0007,1.2E+13,1,85,59568,80,18055,100,27,1,178,57,43,79,73414888,200,0,100,95577238528,100,1.86E+11
2021-04-01,2AGPKA6Y,HGST HUH721212ALN604,1.20001E+13,0,100,0,98,16266,100,2,,,,,,,200,0,,,,
2021-04-01,ZA13YG9K,ST8000DM002,8.00156E+12,0,100,8,57,38019,100,8,100,0,69,31,1,214088856,200,0,100,83617211256,100,2.74566E+11
2021-06-28,Z7OVTDC3T,TOSHIBA MQ01ABF050M,5.00108E+11,1,100,0,38,25093,100,12,,,,,,,200,3,,,,
2021-04-01,Z304L9K1,ST4000DM000,4.00079E+12,0,100,0,47,47070,100,5,94,6,75,25,,,200,0,100,56071948104,100,3.42237E+11
2021-04-18,ZLW18TYE,ST14000NM001G,1.4E+13,1,100,0,95,5044,100,1,100,0,69,31,,,200,0,100,49530303760,100,86336000854
2021-04-01,ZCH0AYDR,ST12000NM0007,1.20001E+13,0,100,0,68,28221,100,3,100,0,80,20,84,230251912,200,0,100,68764828504,100,2.73019E+11
2021-04-05,ZLW17S8A,ST14000NM001G,1.4E+13,1,100,0,97,3435,100,2,100,0,64,36,,,200,0,100,42035124192,100,65880160780
2021-04-01,39D0A004F97G,TOSHIBA MG07ACA14TA,1.40005E+13,0,100,0,75,10203,100,3,,,,,,,200,0,,,,
2021-04-01,X1G8R3JL,WDC WUH721414ALE6L4,1.40005E+13,0,100,0,100,2739,100,1,,,,,,,100,0,,,,
2021-04-26,ZA10LSEL,ST8000DM002,8E+12,1,96,16016,52,42343,100,3,1,218,61,39,21,109456536,200,0,100,86919108664,100,3.32E+11
2021-06-07,Z305GWE1,ST4000DM000,4.00079E+12,1,100,0,47,46489,100,6,100,0,78,22,,,200,0,100,55780779776,100,3.64529E+11
2021-04-01,ZHZ668W0,ST12000NM0008,1.20001E+13,0,100,0,91,8599,100,1,100,0,75,25,1,31327048,200,0,100,55160500448,100,1.11131E+11
2021-04-01,Y8S0A078F97G,TOSHIBA MG07ACA14TA,1.40005E+13,0,100,0,70,12216,100,4,,,,,,,200,0,,,,
2021-04-01,PL1331LAH1K4BH,HGST HMS5C4040BLE640,4.00079E+12,0,100,0,96,32964,100,16,,,,,,,200,0,,,,
2021-04-01,70M0A03EFV8G,TOSHIBA MG08ACA16TEY,1.60009E+13,0,100,0,91,3828,100,15,,,,,,,200,0,100,54825072091,100,1.23389E+11
2021-04-07,Z302SZPC,ST4000DM000,4E+12,1,100,0,45,49045,100,42,85,15,74,26,,,200,0,100,66053583400,100,2.6E+11
2021-04-30,176FT02OT,TOSHIBA MQ01ABF050M,5E+11,1,100,0,16,33924,100,7,,,,,,,200,0,,,,
2021-06-11,11J0A0EQF97G,TOSHIBA MG07ACA14TA,1.40005E+13,1,100,0,94,2500,100,1,,,,,,,200,0,,,,
2021-04-01,S300Z4RN,ST4000DM000,4.00079E+12,0,100,0,42,51457,100,7,100,0,79,21,,,200,0,100,68199354232,100,2.63436E+11
2021-04-16,S3019Z75,ST4000DM000,4E+12,1,100,0,50,44541,100,6,76,24,76,24,,,200,0,100,47456441376,100,3.17E+11
2021-04-01,ZA142SJD,ST8000DM002,8.00156E+12,0,100,0,56,38767,100,5,100,0,69,31,1,206738120,200,0,100,82862175512,100,2.68216E+11
2021-06-19,ZA180QA8,ST8000NM0055,8.00156E+12,1,100,472,62,33838,100,10,100,0,61,39,76,40703528,200,0,100,71889964600,100,2.69182E+11
2021-06-16,ZHZ631J2,ST12000NM0008,1.20001E+13,1,100,24,88,10822,100,2,98,2,74,26,4,28458080,200,0,100,62746146232,100,1.46023E+11
2021-04-01,ZCH0D5SW,ST12000NM0007,1.20001E+13,0,100,0,72,25391,100,12,100,0,78,22,83,205416080,200,0,100,55730610256,100,2.20598E+11
2021-06-28,ZHZ4WX1S,ST12000NM0008,1.20001E+13,1,100,0,85,13337,100,3,93,7,74,26,3,10012280,200,0,100,64285019856,100,1.56184E+11
2021-04-01,7060A10YFV8G,TOSHIBA MG08ACA16TEY,1.60009E+13,0,100,0,95,2329,100,60,,,,,,,200,0,100,37724791774,100,1.09862E+11
2021-06-24,PL1331LAHBK8GH,HGST HMS5C4040BLE640,4.00079E+12,1,100,0,95,35128,100,28,,,,,,,200,0,,,,
2021-06-07,ZA181KDV,ST8000NM0055,8.00156E+12,1,91,37745,61,34227,100,13,57,43,62,38,83,180091128,200,0,100,72373350256,100,2.8587E+11
2021-04-01,Z304L9KG,ST4000DM000,4.00079E+12,0,100,0,46,48102,100,6,100,0,76,24,,,200,0,100,60787714328,100,3.43923E+11
2021-06-10,ZL23XS81,ST16000NM001G,1.60009E+13,1,100,0,100,692,100,1,100,0,72,28,,,200,0,100,724656512,100,321405364
2021-04-20,40P0A083F97G,TOSHIBA MG07ACA14TA,1.4E+13,1,100,0,84,6737,100,5,,,,,,,200,0,,,,
2021-04-01,5PH8KU1F,HGST HUH721212ALE604,1.20001E+13,0,100,0,100,145,100,2,,,,,,,200,0,,,,
2021-04-01,1170A03FF97G,TOSHIBA MG07ACA14TA,1.40005E+13,0,100,0,99,799,100,1,,,,,,,200,0,,,,
2021-04-01,40N0A049F97G,TOSHIBA MG07ACA14TA,1.40005E+13,0,100,0,86,5740,100,2,,,,,,,200,0,,,,
2021-06-08,ZLW0GQ9T,ST12000NM001G,1.20001E+13,1,100,0,90,9338,100,1,100,0,76,24,,,200,0,100,60239763848,100,1.24212E+11
2021-04-01,AAG623RH,HGST HUH721212ALN604,1.20001E+13,0,100,0,98,19994,100,2,,,,,,,200,0,,,,
2021-04-29,PL1331LAHD4NWH,HGST HMS5C4040BLE640,4E+12,1,100,0,95,38359,100,16,,,,,,,200,0,,,,
2021-06-22,ZHZ3RNZS,ST12000NM0008,1.20001E+13,1,100,2656,83,14923,100,5,100,0,67,33,2,20185520,200,0,100,71579405664,100,2.07494E+11
2021-06-23,202328794E9D,MTFDDAV240TCB,2.40057E+11,1,100,0,100,5798,100,15,,,,,100,0,100,0,,,,
2021-04-24,564ESIYJS,TOSHIBA MQ01ABF050,5E+11,1,100,0,29,28604,100,10,,,,,,,200,0,,,,
2021-04-01,PL2331LAHDBG4J,HGST HMS5C4040BLE640,4.00079E+12,0,100,0,94,43327,100,4,,,,,,,200,0,,,,
2021-04-23,ZA13YP3F,ST8000DM002,8E+12,1,100,1048,58,37304,100,14,96,4,65,35,23,138011392,200,0,100,79637000984,100,2.84E+11
2021-06-26,175PP3ITT,TOSHIBA MQ01ABF050M,5.00108E+11,1,100,0,7,37507,100,7,,,,,,,200,0,,,,
2021-04-01,ZHZ3CNVY,ST14000NM0138,1.40005E+13,0,100,0,97,3206,100,18,100,0,68,32,2,118230584,200,0,100,36856305827,100,33331638957
2021-06-12,ZJV4H7FQ,ST12000NM0007,1.20001E+13,1,40,39610,83,15152,100,4,1,546,61,39,82,163069920,200,0,100,72689903160,100,2.00179E+11
2021-06-08,ZHZ3RBC1,ST12000NM0008,1.20001E+13,1,100,16,84,14203,100,3,94,6,75,25,1,211399512,200,0,100,67883801776,100,2.10161E+11
2021-06-01,ZL230M4M,ST16000NM001G,1.60009E+13,1,100,0,98,1967,100,2,100,0,73,27,,,200,0,100,26181527272,100,28075322496
2021-04-01,X0GB6JHC,WDC WUH721414ALE6L4,1.40005E+13,0,100,0,100,4013,100,2,,,,,,,100,0,,,,
2021-04-01,ZA171SXQ,ST8000NM0055,8.00156E+12,0,100,0,61,34393,100,9,100,0,71,29,74,23091416,200,0,100,74526796304,100,2.60515E+11
2021-04-01,ZA13R3HV,ST8000DM002,8.00156E+12,0,100,0,57,38020,100,9,100,0,67,33,1,229712312,200,0,100,81568128928,100,2.62646E+11
2021-04-01,8DJ401WH,HGST HUH721212ALE604,1.20001E+13,0,100,0,100,5850,100,3,,,,,,,200,0,,,,
2021-04-10,ZLW18S15,ST14000NM001G,1.4E+13,1,100,0,94,5288,100,6,100,0,69,31,,,200,0,100,50146345568,100,1.03E+11
2021-06-21,5080A0SEF97G,TOSHIBA MG07ACA14TA,1.40005E+13,1,100,0,83,6838,100,2,,,,,,,200,0,,,,
2021-04-08,Z304HZ06,ST4000DM000,4E+12,1,100,24,47,47237,100,9,21,79,81,19,,,200,0,100,57045470600,100,3.36E+11
2021-04-01,7050A03JF97G,TOSHIBA MG07ACA14TA,1.40005E+13,0,100,0,88,5080,100,2,,,,,,,200,0,,,,
2021-06-01,ZA1818DM,ST8000NM0055,8.00156E+12,1,95,20249,62,33353,100,21,42,58,63,37,78,62757608,200,0,100,70418146328,100,2.84536E+11
2021-04-01,ZLW0EGSQ,ST12000NM001G,1.20001E+13,0,100,0,92,7626,100,2,100,0,70,30,,,200,0,100,53808446920,100,1.02737E+11
2021-04-27,ZLW17RWN,ST14000NM001G,1.4E+13,1,100,96,94,5283,100,1,81,19,69,31,,,200,0,100,50503762304,100,1.17E+11
2021-04-01,WD-WX41A3575J2P,WDC WD5000LPVX,5.00108E+11,0,200,0,43,42170,100,3,,,,,,,200,0,,,,
2021-04-01,X0GE9VJC,WDC WUH721414ALE6L4,1.40005E+13,0,100,0,100,4013,100,2,,,,,,,100,0,,,,
2021-06-27,11K0A011F97G,TOSHIBA MG07ACA14TA,1.40005E+13,1,100,0,96,1817,100,3,,,,,,,200,0,,,,
2021-05-27,ZHZ4FTLL,ST14000NM0138,1.40005E+13,1,100,0,95,4684,100,28,51,49,73,27,1,13460768,200,0,100,47099253685,100,50815794734
2021-04-01,X0GDZ78C,WDC WUH721414ALE6L4,1.40005E+13,0,100,0,100,4014,100,1,,,,,,,100,0,,,,
2021-04-01,Z305N9ZQ,ST4000DM000,4.00079E+12,0,100,0,49,44711,100,8,100,0,65,35,,,200,0,100,51430020896,100,2.55374E+11
2021-04-01,8HKRH37H,HGST HUH721212ALN604,1.20001E+13,0,100,0,98,17116,100,2,,,,,,,200,0,,,,
2021-04-04,ZJV03PR8,ST12000NM0007,1.2E+13,1,72,48232,71,25446,100,13,1,637,73,27,79,73305176,200,0,100,60077426376,100,2.48E+11
2021-04-25,S2ZYJ9FG404765,ST500LM012 HN,5E+11,1,252,0,100,34542,100,23,,,,,100,0,200,0,,,,
2021-04-01,ZA11MY3R,ST8000DM002,8.00156E+12,0,100,0,54,41133,100,13,100,0,67,33,1,130328280,200,0,100,87190299704,100,2.60796E+11
2021-04-24,Z302SZNE,ST4000DM000,4E+12,1,96,5520,45,49003,100,28,1,106,75,25,,,200,0,100,64662231288,100,3.15E+11
2021-04-01,5PHRD5BD,HGST HUH721212ALE604,1.20001E+13,0,100,0,100,189,100,2,,,,,,,200,0,,,,
2021-06-09,ZA1438N5,ST8000DM002,8.00156E+12,1,100,112,54,40421,100,8,91,9,71,29,21,133002960,200,0,100,85310212864,100,2.77493E+11
2021-04-10,ZL0050ZH,ST12000NM0008,1.2E+13,1,99,6536,91,8586,100,5,1,168,58,42,2,50408048,200,0,100,59804773104,100,1.21E+11
2021-04-01,X0GG2Z1C,WDC WUH721414ALE6L4,1.40005E+13,0,100,0,100,4027,100,2,,,,,,,100,0,,,,
2021-05-10,7QT02V93,Seagate BarraCuda 120 SSD ZA250CM10003,2.50059E+11,1,100,0,100,2121,100,7,,,,,,,,,100,7647,100,7156
2021-04-01,ZHZ4F5AY,ST12000NM0008,1.20001E+13,0,100,0,86,12525,100,10,100,0,72,28,100,1422944,200,0,100,67504086128,100,1.42459E+11
2021-06-03,ZHZ3S01C,ST12000NM0008,1.20001E+13,1,100,64,84,14097,100,4,1,1557,72,28,1,47586656,200,0,100,66660815888,100,2.26357E+11
2021-04-01,S3010LZE,ST4000DM000,4.00079E+12,0,100,0,42,51496,100,7,100,0,78,22,,,200,0,100,67392626000,100,2.66853E+11
2021-04-01,10B0A05TF97G,TOSHIBA MG07ACA14TA,1.40005E+13,0,100,0,76,9910,100,4,,,,,,,200,0,,,,
2021-06-17,7QT032NR,Seagate BarraCuda 120 SSD ZA250CM10003,2.50059E+11,1,100,0,100,836,100,9,,,,,,,,,100,3976,100,121
2021-04-23,PL2331LAHB8UAJ,HGST HMS5C4040BLE640,4E+12,1,100,0,95,36626,100,8,,,,,,,200,0,,,,
2021-04-01,11J0A05JF97G,TOSHIBA MG07ACA14TA,1.40005E+13,0,100,0,99,793,100,4,,,,,,,200,0,,,,
2021-04-01,Z305L5TG,ST4000DM000,4.00079E+12,0,100,0,49,44706,100,11,100,0,68,32,,,200,0,100,51752919976,100,2.76743E+11
2021-06-18,X0GE56DC,WDC WUH721414ALE6L4,1.40005E+13,1,100,0,100,5883,100,4,,,,,,,100,0,,,,
2021-04-15,ZHZ4MZ2W,ST12000NM0008,1.2E+13,1,100,72,87,11562,100,3,48,52,76,24,3,14182616,200,0,100,60183984568,100,1.33E+11
2021-04-01,ZHZ3ARYG,ST14000NM0138,1.40005E+13,0,100,0,98,2508,100,20,100,0,71,29,4,58930488,200,0,100,32509361397,100,28830068165
2021-06-23,ZA17ZPP5,ST8000NM0055,8.00156E+12,1,91,39000,62,34106,100,12,47,53,58,42,83,198452616,200,0,100,70722011536,100,3.05888E+11
2021-04-01,ZLW0C6Z0,ST12000NM001G,1.20001E+13,0,100,0,92,7205,100,4,100,0,74,26,,,200,0,100,54319393376,100,95369141610
2021-04-30,ZA180YVW,ST8000NM0055,8E+12,1,99,6336,62,33317,100,13,83,17,59,41,75,34680744,200,0,100,71651337656,100,2.79E+11
2021-04-01,PL1331LAHBS5TH,HGST HMS5C4040BLE640,4.00079E+12,0,100,0,94,42053,100,3,,,,,,,200,0,,,,
2021-04-01,AAG6382H,HGST HUH721212ALN604,1.20001E+13,0,100,0,98,19984,100,5,,,,,,,200,0,,,,
2021-04-01,ZA12RBBM,ST8000DM002,8E+12,1,91,36992,54,40915,100,8,1,189,70,30,16,51336344,200,0,100,79347831656,100,3.39E+11
2021-04-01,ZHZ4FTMK,ST14000NM0138,1.40005E+13,0,100,0,97,3346,100,28,100,0,74,26,2,105325728,200,0,100,37959565053,100,33435906513
2021-04-01,Z304JT0X,ST4000DM000,4.00079E+12,0,100,0,46,48048,100,15,100,0,66,34,,,200,0,100,63910161368,100,2.75643E+11
2021-04-08,Z302SZLY,ST4000DM000,4E+12,1,97,3168,45,48619,100,27,1,175,72,28,,,200,0,100,65870959120,100,2.83E+11
2021-04-01,7080A0ESF97G,TOSHIBA MG07ACA14TA,1.40005E+13,0,100,0,93,2899,100,3,,,,,,,200,0,,,,
2021-06-28,17OYTGL9T,TOSHIBA MQ01ABF050,5.00108E+11,1,100,0,23,31142,100,19,,,,,,,200,0,,,,
2021-04-01,ZJV0RBVP,ST12000NM0007,1.20001E+13,0,100,0,79,18848,100,10,100,0,73,27,82,175869208,200,0,100,31817135584,100,67724106126
2021-06-24,S301NJHQ,ST4000DM000,4.00079E+12,1,100,48,44,49557,100,23,1,118,73,27,,,200,0,100,63466391680,100,7.03079E+11
2021-06-06,S300Z7KY,ST4000DM000,4.00079E+12,1,100,0,40,53091,100,2,99,1,80,20,,,200,0,100,69897246944,100,2.77506E+11
2021-06-10,88P0A09CF97G,TOSHIBA MG07ACA14TA,1.40005E+13,1,100,0,42,23564,100,7,,,,,,,200,0,,,,
2021-04-01,8DGR042H,HGST HUH721212ALE604,1.20001E+13,0,100,0,100,5346,100,4,,,,,,,200,0,,,,
2021-04-01,ZA11NYQ9,ST8000DM002,8.00156E+12,0,100,0,54,41130,100,16,100,0,55,45,1,165397428,200,0,100,87364643280,100,2.86132E+11
