date,serial_number,model,capacity_bytes,failure,read-error-rate-normal,read-error-rate-raw,throughput-performance-normal,throughput-performance-raw,spin-up-time-normal,spin-up-time-raw,start/stop-count-normal,start/stop-count-raw,reallocated-sectors-count-normal,reallocated-sectors-count-raw,seek-error-rate-normal,seek-error-rate-raw,seek-time-performance-normal,seek-time-performance-raw,power-on-hours-normal,power-on-hours-raw,spin-retry-count-normal,spin-retry-count-raw,recalibration-retries-normal,recalibration-retries-raw,power-cycle-count-normal,power-cycle-count-raw,soft-read-error-rate-normal,soft-read-error-rate-raw,current-helium-level-normal,current-helium-level-raw,available-reserved-space-normal,available-reserved-space-raw,ssd-wear-leveling-count-normal,ssd-wear-leveling-count-raw,unexpected-power-loss-count-normal,unexpected-power-loss-count-raw,power-loss-protection-failure-normal,power-loss-protection-failure-raw,wear-range-delta-normal,wear-range-delta-raw,used-reserved-block-count-total-normal,used-reserved-block-count-total-raw,unused-reserved-block-count-total-normal,unused-reserved-block-count-total-raw,program-fail-count-total-normal,program-fail-count-total-raw,erase-fail-count-normal,erase-fail-count-raw,sata-downshift-error-count-normal,sata-downshift-error-count-raw,end-to-end-error-normal,end-to-end-error-raw,reported-uncorrectable-errors-normal,reported-uncorrectable-errors-raw,command-timeout-normal,command-timeout-raw,high-fly-writes-normal,high-fly-writes-raw,temperature-difference-normal,temperature-difference-raw,g-sense-error-rate-normal,g-sense-error-rate-raw,power-off-retract-count-normal,power-off-retract-count-raw,load-cycle-count-normal,load-cycle-count-raw,temperature-normal,temperature-raw,hardware-ecc-recovered-normal,hardware-ecc-recovered-raw,reallocation-event-count-normal,reallocation-event-count-raw,current-pending-sector-count-normal,current-pending-sector-count-raw,(offline)-uncorrectable-sector-count-normal,(offline)-uncorrectable-sector-count-raw,ultradma-crc-error-count-normal,ultradma-crc-error-count-raw,multi-zone-error-rate-normal,multi-zone-error-rate-raw,data-address-mark-errors-normal,data-address-mark-errors-raw,flying-height-normal,flying-height-raw,vibration-during-write-normal,vibration-during-write-raw,disk-shift-normal,disk-shift-raw,loaded-hours-normal,loaded-hours-raw,load/unload-retry-count-normal,load/unload-retry-count-raw,load-friction-normal,load-friction-raw,load/unload-cycle-count-normal,load/unload-cycle-count-raw,load-'in'-time-normal,load-'in'-time-raw,life-left-(ssds)-normal,life-left-(ssds)-raw,endurance-remaining-normal,endurance-remaining-raw,media-wearout-indicator-(ssds)-normal,media-wearout-indicator-(ssds)-raw,average-erase-count-and-maximum-erase-count-normal,average-erase-count-and-maximum-erase-count-raw,good-block-count-and-system(free)-block-count-normal,good-block-count-and-system(free)-block-count-raw,head-flying-hours-normal,head-flying-hours-raw,total-lbas-written-normal,total-lbas-written-raw,total-lbas-read-normal,total-lbas-read-raw,read-error-retry-rate-normal,read-error-retry-rate-raw,minimum-spares-remaining-normal,minimum-spares-remaining-raw,newly-added-bad-flash-block-normal,newly-added-bad-flash-block-raw,free-fall-protection-normal,free-fall-protection-raw
2021-06-18,Z7OVTDBIT,TOSHIBA MQ01ABF050M,5.00108E+11,1,100,0,100,0,100,1511,100,7,100,0,100,0,100,0,60,16312,100,0,,,100,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1,100,2,100,21,100,29,,,100,0,100,0,100,0,200,1,,,,,,,,,100,0,60,16316,100,0,100,0,,,100,268,,,,,,,,,,,100,0,,,,,,,,,,,,
2021-04-10,ZL0055YL,ST12000NM0008,1.2E+13,1,60,46326720,,,99,0,100,1,99,4008,84,248851602,,,91,8601,100,0,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,39,61,100,0,,,59,41,,,100,0,100,557,41,41,1,46326720,,,100,0,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,8488,100,59821282984,100,1.23E+11,,,,,,,,
2021-04-01,AAG8RN9H,HGST HUH721212ALN604,1.20001E+13,0,100,0,100,0,159,415,100,37,100,0,100,0,100,0,98,18488,100,0,,,100,37,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1032,100,1032,166,36,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-23,1170A075F97G,TOSHIBA MG07ACA14TA,1.40005E+13,1,100,0,100,0,100,7844,100,2,100,0,100,0,100,0,94,2783,100,0,,,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,100,98,100,26,,,100,0,100,0,100,0,200,0,,,,,,,,,100,102105090,94,2472,100,0,100,0,,,100,596,,,,,,,,,,,100,0,,,,,,,,,,,,
2021-04-28,ZHZ631JZ,ST12000NM0008,1.2E+13,1,80,92824808,,,98,0,100,2,100,1000,85,336364403,,,89,9652,100,0,,,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,73,27,100,458759,,,67,33,,,100,1,100,689,33,33,1,92824808,,,100,48,100,48,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,9535,100,59818363520,100,1.36E+11,,,,,,,,
2021-04-01,ZL0055EG,ST12000NM0008,1.20001E+13,0,80,110842416,,,98,0,100,2,100,0,88,647330572,,,95,4849,100,0,,,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,,,79,21,,,100,0,100,436,21,21,1,110842416,,,100,0,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,4719,100,23486752920,100,98452904701,,,,,,,,
2021-06-01,ZA16DQ44,ST8000NM0055,8.00156E+12,1,74,141060232,,,89,0,100,12,85,59072,74,24222379,,,58,37053,100,0,,,100,12,,,,,,,,,,,,,,,,,,,,,,,,,100,0,1,136,100,0,100,0,70,30,89,23112,100,52,81,39181,30,30,81,141060232,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,36991,100,77342167800,100,2.90934E+11,,,,,,,,
2021-04-18,Z304GX8A,ST4000DM000,4E+12,1,114,60613848,,,92,0,100,11,100,0,88,751653374,,,46,47777,100,0,,,100,11,,,,,,,,,,,,,,,,,,,,,,,98,2,100,0,100,0,100,0,100,0,79,21,100,0,100,0,93,14114,21,21,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,47634,100,58859309880,100,2.95E+11,,,,,,,,
2021-04-01,5PHKYN2F,HGST HUH721212ALE604,1.20001E+13,0,100,0,130,100,100,0,100,3,100,0,100,0,132,17,100,179,100,0,,,100,3,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,9,100,9,187,32,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-03,ZA143CY5,ST8000DM002,8.00156E+12,1,65,72965840,,,84,0,100,30,95,20792,85,331040652,,,55,40274,100,0,,,100,30,,,,,,,,,,,,,,,,,,,,,,,,,100,0,25,75,100,0,100,0,64,36,93,14586,100,21,77,47913,36,36,15,72965840,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,40200,100,85791897656,100,2.72731E+11,,,,,,,,
